match_date,home_team,away_team,home_win_odds,draw_odds,away_win_odds,n_bookmakers
2026-06-11,Mexico,South Africa,1.41,4.5,8.725,28
2026-06-11,South Korea,Czechia,2.7,3.1,2.85,27
2026-06-12,Canada,Bosnia and Herzegovina,1.81,3.6,4.7,27
2026-06-12,United States,Paraguay,1.94,3.4,4.2,27
2026-06-13,Qatar,Switzerland,13.25,6.75,1.2,27
2026-06-13,Brazil,Morocco,1.65,3.8,5.5,27
2026-06-13,Haiti,Scotland,6.0,4.3,1.53,27
2026-06-13,Australia,Turkey,5.15,3.75,1.7,27
2026-06-14,Germany,Curacao,1.04,18.0,46.0,24
2026-06-14,Netherlands,Japan,2.0,3.55,3.715,26
2026-06-14,Ivory Coast,Ecuador,3.59,2.8,2.43,27
2026-06-14,Sweden,Tunisia,1.88,3.45,4.49,27
2026-06-15,Spain,Cabo Verde,1.08,12.0,26.0,27
2026-06-15,Belgium,Egypt,1.65,3.9,5.42,27
2026-06-15,Saudi Arabia,Uruguay,7.75,4.4,1.44,27
2026-06-15,Iran,New Zealand,1.85,3.45,4.5,27
2026-06-16,France,Senegal,1.46,4.4,7.09,27
2026-06-16,Iraq,Norway,14.0,7.0,1.2,27
2026-06-16,Argentina,Algeria,1.39,4.6,9.0,27
2026-06-16,Austria,Jordan,1.31,5.5,9.5,27
2026-06-17,Portugal,Congo DR,1.28,5.75,11.0,25
2026-06-17,England,Croatia,1.72,3.8,4.88,25
2026-06-17,Ghana,Panama,2.07,3.45,3.6,25
2026-06-17,Uzbekistan,Colombia,9.0,4.6,1.39,25
2026-06-18,Czechia,South Africa,1.95,3.3,4.1,25
2026-06-18,Switzerland,Bosnia and Herzegovina,1.6,3.95,5.5,25
2026-06-18,Canada,Qatar,1.3,5.1,10.0,25
2026-06-18,Mexico,South Korea,1.8,3.5,4.61,25
2026-06-19,United States,Australia,1.74,3.8,4.5,25
2026-06-19,Scotland,Morocco,4.1,3.28,1.98,25
2026-06-19,Brazil,Haiti,1.08,11.5,29.0,22
2026-06-19,Turkey,Paraguay,2.215,3.15,3.45,24
2026-06-20,Netherlands,Sweden,1.63,4.0,5.15,24
2026-06-20,Germany,Ivory Coast,1.55,4.25,5.6,25
2026-06-20,Ecuador,Curacao,1.19,6.75,15.0,25
2026-06-20,Tunisia,Japan,5.2,3.6,1.71,25
2026-06-21,Spain,Saudi Arabia,1.1,9.5,23.0,25
2026-06-21,Belgium,Iran,1.4,4.7,7.875,24
2026-06-21,Uruguay,Cabo Verde,1.43,4.47,7.5,25
2026-06-21,New Zealand,Egypt,4.8,3.7,1.73,25
2026-06-22,Argentina,Austria,1.65,3.8,5.4,25
2026-06-22,France,Iraq,1.12,8.375,23.5,24
2026-06-22,Norway,Senegal,2.12,3.45,3.31,24
2026-06-22,Jordan,Algeria,6.25,4.135,1.5,24
2026-06-23,Portugal,Uzbekistan,1.235,6.1,11.0,24
2026-06-23,England,Ghana,1.3,5.225,9.5,24
2026-06-23,Panama,Croatia,6.5,3.955,1.53,24
2026-06-23,Colombia,Congo DR,1.45,4.15,7.325,24
2026-06-24,Bosnia and Herzegovina,Qatar,1.55,4.0,6.25,23
2026-06-24,Switzerland,Canada,2.1,3.3,3.5,23
2026-06-24,Scotland,Brazil,6.4,4.45,1.45,19
2026-06-24,Morocco,Haiti,1.32,5.0,9.5,19
2026-06-24,Czechia,Mexico,4.6,3.5,1.79,19
2026-06-24,South Africa,South Korea,4.0,3.4,1.94,19
2026-06-25,Curacao,Ivory Coast,13.0,6.1,1.205,18
2026-06-25,Ecuador,Germany,4.75,3.75,1.73,19
2026-06-25,Japan,Sweden,2.07,3.4,3.5,18
2026-06-25,Tunisia,Netherlands,6.5,4.21,1.495,18
2026-06-25,Paraguay,Australia,2.15,3.185,3.475,18
2026-06-25,Turkey,United States,2.63,3.45,2.55,18
2026-06-26,Norway,France,4.275,3.6,1.83,18
2026-06-26,Senegal,Iraq,1.4049999999999998,4.45,7.65,18
2026-06-26,Cabo Verde,Saudi Arabia,2.55,3.265,2.74,18
2026-06-26,Uruguay,Spain,5.3,3.845,1.62,18
2026-06-26,New Zealand,Belgium,10.0,5.6,1.28,18
2026-06-26,Egypt,Iran,2.23,2.995,3.525,18
2026-06-27,Croatia,Ghana,1.645,3.75,5.43,18
2026-06-27,Panama,England,9.3,5.725,1.27,18
2026-06-27,Colombia,Portugal,3.5,3.3,2.12,19
2026-06-27,Congo DR,Uzbekistan,2.32,3.2,3.1,19
2026-06-27,Algeria,Austria,3.56,3.1100000000000003,2.15,18
2026-06-27,Jordan,Argentina,14.0,6.45,1.185,18
