team,count,champion_probability
Spain,21440,0.2144
Argentina,11842,0.11842
France,8587,0.08587
Brazil,6741,0.06741
England,6614,0.06614
Germany,5037,0.05037
Colombia,4539,0.04539
Portugal,4270,0.0427
Netherlands,3523,0.03523
Belgium,3313,0.03313
Norway,2941,0.02941
Switzerland,2703,0.02703
Mexico,2363,0.02363
Uruguay,2164,0.02164
Japan,1854,0.01854
Ecuador,1734,0.01734
Morocco,1317,0.01317
United States,1048,0.01048
South Korea,999,0.00999
Turkey,995,0.00995
Austria,908,0.00908
Paraguay,614,0.00614
Canada,590,0.0059
Croatia,579,0.00579
Scotland,459,0.00459
Senegal,403,0.00403
Sweden,376,0.00376
Australia,338,0.00338
Iran,325,0.00325
Czechia,308,0.00308
Algeria,303,0.00303
Ivory Coast,176,0.00176
Egypt,156,0.00156
Uzbekistan,89,0.00089
Tunisia,71,0.00071
Panama,68,0.00068
Saudi Arabia,42,0.00042
South Africa,41,0.00041
Jordan,35,0.00035
New Zealand,25,0.00025
Iraq,23,0.00023
Congo DR,20,0.0002
Ghana,12,0.00012
Haiti,7,7e-05
Bosnia and Herzegovina,5,5e-05
Qatar,3,3e-05
