team,count,round_of_32_probability
Spain,99718,0.99718
Switzerland,97830,0.9783
Germany,96999,0.96999
Argentina,96568,0.96568
Brazil,96304,0.96304
England,96197,0.96197
France,95288,0.95288
Portugal,93898,0.93898
Colombia,93807,0.93807
Canada,93246,0.93246
Belgium,93104,0.93104
Ecuador,91719,0.91719
Uruguay,90695,0.90695
Mexico,90507,0.90507
Netherlands,89626,0.89626
Norway,86035,0.86035
Morocco,83970,0.8397
Japan,83163,0.83163
Croatia,82076,0.82076
South Korea,78531,0.78531
United States,77464,0.77464
Turkey,74795,0.74795
Austria,72923,0.72923
Iran,72551,0.72551
Czechia,72055,0.72055
Scotland,69188,0.69188
Paraguay,64613,0.64613
Ivory Coast,64260,0.6426
Senegal,62054,0.62054
Sweden,61418,0.61418
Australia,58515,0.58515
Egypt,57704,0.57704
Algeria,56866,0.56866
Panama,55842,0.55842
Uzbekistan,47994,0.47994
New Zealand,46282,0.46282
Saudi Arabia,44960,0.4496
Jordan,40185,0.40185
Tunisia,36863,0.36863
Bosnia and Herzegovina,33621,0.33621
Qatar,33420,0.3342
Ghana,31882,0.31882
South Africa,31805,0.31805
Congo DR,27545,0.27545
Iraq,24554,0.24554
Haiti,20432,0.20432
Curacao,15625,0.15625
Cabo Verde,15303,0.15303
